,ID,REPLY,LIKE,LIKE2
1151,챠챠,1:49:15 ㅋㅌㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그즈오잉~?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2
1152,riddle_cat,2:35:25 악몽 꾸는 생쥐,0,0
1153,MINI,이거 다시 안함요....?,0,0
1154,박겐타로,3:29:38 광고스킵,0,0
1155,뿌루,광용 할아버지 캐릭은 만나면 사람 너무 답답하게해서 짜증남…,1,1
1156,정우진,1:47:40 제물포ㅋㅋㅋ 제(쟤)땜에 물리 포기 ㅋㅋㅋㅋ,0,0
1157,Spring_beom,튼튼한거 삿네 아이cㅋㅋㅋㅋㅋ,0,0
1158,Kelly,택조 아찌네 7남 8녀 ㅋㅋㅋㅋㅋ,0,0
1159,WHEELOGUE,정말 어디가 웃긴부분인지 모르겠습니다,0,0
1160,ㄱㅅㅈ,2:05 이수만인데??ㅋㅋㅋㅋㅋㅋ닮았어,0,0
1161,s weet,22:00,0,0
1162,바른생각좋은생각,3:22 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
1163,박찬희,34:37,0,0
1164,kyung hee Park,0:36 제이호 아버님이신가요?,0,0
1165,스카이문필름,23:00,0,0
1166,gazurog,5호선드립 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋ,0,0
1167,이지연,16:00,0,0
1168,괴짜,2:10:07 여기 브루스올마이티 영화에 나오는 소리랑 똑같음 ㅋㅋㅋㅋㅋㅋㅋㅋ  https://youtu.be/LSS7BAcR4rw?t=105,4,4
1169,룰루와 랄라,8:32,0,0
1170,그림자잡이,개그인거 알지만 진짜 엮이기 싫은 그룹이다 ㅋ,0,0
1171,JUYOUNG LEE,김신조 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
1172,_푸 [POW],세시간 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
1173,dms rk,40:40,0,0
1174,p•_•q,1:20:32,0,0
1175,둥둥,13:00,2,2
1176,Abracadabra,정겹다 정겨워,0,0
1177,풍선초록,ㅇㅏ저씨들 공통어. 어어어이어어어.,0,0
1178,차트마스터,3:44,1,1
1179,Sung Jae Lee,1:47:42 제물포 = 쟤물포 =쟤 때문에 물리 포기했다,1,1
1180,하사 진 김한솔,4:01,0,0
1181,김우진,34:00,1,1
