,ID,REPLY,LIKE,LIKE2
31,스동동,와 이번 리스트 미쳤다 다 취향저격이야 ,1,1
32,뇽,"와 지금까지 내가 들어본 플리 영상 중 다 내 취향에 맞는 건 이게 처음인듯,,,, 다 너무 좋다!!!!!!",0,0
33,로다,매번 너무 좋아하며 듣지만 이번껀 진짜 댓글달만큼 좋아요♡감사합니다:),5,5
34,PLAY LIST,이건 미쳤어어어어어어어어어어!!!!!기절!!!할뻔????노래 너무 좋자나~~제가 원래 댓글은 잘 안 남기는데....항상 essential님 노래듣고 응원하고있어요!,0,0
35,정정정,"팝송 나름 많이 듣는 사람인데, 유튜브 플리 들어와서 리스트에 아는 노래 많이 없는 거 진짜 오랜만이다 노래 다 좋음",3,3
36,Eunjoon Park,요즘엔 노래찾는것도 귀찮았었는데 ㅠㅠ 이렇게 좋은 노래들을 뙇 모아놔주셔서 고마워요!! 시간 세이브 많이 되겠네요~,1,1
37,"Horsehead nebula, IC 434 Gorgeous Brilliant","노래 대부분이 저음이 풍부하고 밸런스가 나쁘지 않네요, 즐감하고 갑니다~^^",2,2
38,ᄃ,"혹시 멜론 플레이리스트 만들어주실 생각 없으신가여,,,,, 멜론으로 편하게 듣고 싶어요 ㅜㅜㅜ 멜론에 들을게 진심 너무 없는데 에센셜님 플레이리스트 진짜 너무 조아여 ㅜㅜㅜㅜㅜ",14,14
39,J kim,누구에게든 추천하고 싶은 감각적 플레이리스트 채널 인정합니다~,38,38
40,루루,항상 좋은 곡 들려주셔서 감사합니당 ️,1,1
41,Sumin JO,"취저... 웬만해선 이런 플레이리스트에는 한 두곡 정도 좋은데, 이 리스트는 거의 다 좋아요! 끼햣",16,16
42,soul fine,벅스에서 같은 플레이리스트 있어서 그대로 배껴온건가...했는데 설명란에 써놓으셨네요 ㅋㅋㅋ 유튜브로도 만들어주셔서 감사합니다. (벅스는 유튜브 뮤직이 경쟁사라 별로 안좋아하겠지만...) 루미너스님도 추천해주신 음악 잘 듣고 있습니다. 감사해요!,0,0
43,cm 173.6,진짜 이 플리는 들어도 들어도 최고에요...,0,0
44,kim berly,"이 플리는 몇년이 지나도, 시대가 지나도 좋을 것",0,0
45,유민지,Thank you for making this playlist. :),1,1
46,호로록로록,DRENCH 노래 4곡 모두 다 좋아요...ㅠㅠㅠㅠ 노래도 앨범소개도 넘넘ㅠㅠ 숨겨진 보석,1,1
47,Yasmine Givenchy,Listening to thissss while working from home  such a groovy mood ♡,6,6
48,기므,오늘 노래는 미쳤군 시험공부 중인데.. 이렇게 느낌있는 분위기의 노래를 들려주시면 곤란한데 너무 좋자너,2,2
49,Yoona K-pop,"예전에 알바하던 곳에서 이거 틀어놨었는데, 진짜 웃기게도 어떤 손님이 계산하고 나가면서 '사장님 이거 플레이리스트 뭐에요?'라고 하시길래 보여드렸더니 같이 빵터졌던 기억이 나네요...ㅋㅋㅋㅋㅋ",0,0
50,하모예,기분전환 하고 싶을 때마다 정말 잘 듣고있습니다 :),0,0
51,우잉궁,이 플리 그대로 누가 내 멜론에 담아주면 좋겠다...,1,1
52,달팽이소녀,좋네요 진짜ㅎㅎ 처음 들어보는 곡들인데 부담없이 듣고있어요!! 좋은 플리 감사합니다^^,1,1
53,le ciel bleu,괜히 이 플리 조회수가 많은게 아니였어....(이 플리 진짜 사랑합니다<3<3,51,51
54,카페파이,이노래 너무좋아요~ 앞으로도 이런노래 자주 업로드해주세요....,0,0
55,ᄀ. ᄆ,와 너무 좋다ㅠㅠ 공부할때 들으니까 집중 완전 잘 돼요ㅠ,0,0
56,HyunWoo Choi,걍 재생목록에 다 넣을게요... 대박이네 진짜 ㅠ,0,0
57,HM kang,제가 들어본 노래모음 중 우주 최고입니다!!!!!!!좋은 노래 모아서 올려주셔서 감사합니다>3<,3,3
58,동동이,manila 들으면서 진심 목에서 감탄이 튀어나옴; 개좋다,2,2
59,앨릿Alice’s daily,"아니, 이런 노래는 진짜 어떻게 아는거야 넘 좋쟈나...️",14,14
60,Aiaru,omg what a playlist!!,0,0
61,Disney Melody,Perfect for the holiday season this year!,0,0
62,Wendy Kim,"이번 플레이리스트 진짜 너무 조아요 취저 ,,,,, ",2,2
63,김민서,첫곡부터 노래가 너무 좋아서 한시간동안 시간가는줄 모르고 들었어요 공부할때 들으니까 집중도 완전 잘되고 좋습니다 앞으로 공부할때 자주 들으려고합니다,32,32
64,캔디날다,"노래 다 개좋아ㅎㅎㅎ오늘 같이 햇빛 쨍쨍한데 바람은 좀 싸늘한 날, 공원 한바퀴 돌고 땀 살짝 났을 때, 뜨아 마시며 듣는데 몸이 붕붕 뜸ㅎㅎㅎ",83,83
65,예원,ㄹㅇ 나 요즘 이 플리만 틀어놓고 있음 첫 곡부터 압도 된 느낌.. 이 플리 만들어주신 분 감사합니댕 ️‍️‍️‍,2,2
